epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.453125,1.4864673614501953,,
0,99,0.671875,0.9930490851402283,,
0,149,0.625,1.0059142112731934,,
0,199,0.84375,0.4373617172241211,,
0,249,0.859375,0.436808705329895,,
0,299,0.921875,0.18483200669288635,,
0,312,,,0.8747625946998596,0.46276170015335083
1,349,0.96875,0.0855797752737999,,
1,399,0.96875,0.10545776784420013,,
1,449,0.96875,0.08016399294137955,,
1,499,0.90625,0.15194901823997498,,
1,549,0.984375,0.02862485684454441,,
1,599,0.984375,0.07505840063095093,,
1,625,,,0.9881059527397156,0.03712017461657524
2,649,0.96875,0.05782222002744675,,
2,699,0.96875,0.08184367418289185,,
2,749,0.984375,0.05049766227602959,,
2,799,0.984375,0.01343037374317646,,
2,849,1.0,0.006988067179918289,,
2,899,1.0,0.0016341134905815125,,
2,938,,,0.9738131165504456,0.1011207178235054
3,949,1.0,0.009269386529922485,,
3,999,0.984375,0.07392838597297668,,
3,1049,0.984375,0.02406218647956848,,
3,1099,1.0,0.011204712092876434,,
3,1149,1.0,0.0017055850476026535,,
3,1199,1.0,0.011123454198241234,,
3,1249,1.0,0.00028701312839984894,,
3,1251,,,0.9943028688430786,0.01897544600069523
4,1299,1.0,0.0005878042429685593,,
4,1349,1.0,7.599033415317535e-05,,
4,1399,1.0,0.0029623322188854218,,
4,1449,1.0,0.005056850612163544,,
4,1499,0.984375,0.07186195254325867,,
4,1549,1.0,8.361414074897766e-06,,
4,1564,,,0.9942029118537903,0.02192401885986328
5,1599,1.0,0.007485417649149895,,
5,1649,1.0,0.0035242121666669846,,
5,1699,0.984375,0.015775619074702263,,
5,1749,1.0,0.0019689276814460754,,
5,1799,1.0,0.00013163313269615173,,
5,1849,1.0,2.53971666097641e-05,,
5,1877,,,0.9956021904945374,0.01670704036951065
6,1899,1.0,0.011454645544290543,,
6,1949,1.0,0.0031623169779777527,,
6,1999,0.984375,0.06931037455797195,,
6,2049,1.0,0.0028351061046123505,,
6,2099,1.0,0.0013281777501106262,,
6,2149,1.0,0.00237286277115345,,
6,2190,,,0.9919040203094482,0.028548836708068848
7,2199,1.0,2.831779420375824e-05,,
7,2249,1.0,2.3469328880310059e-07,,
7,2299,1.0,6.493180990219116e-06,,
7,2349,1.0,0.006866225972771645,,
7,2399,1.0,4.2611733078956604e-05,,
7,2449,1.0,6.7148357629776e-06,,
7,2499,1.0,0.0002771206200122833,,
7,2503,,,0.9923038482666016,0.03530949726700783
8,2549,0.984375,0.013967439532279968,,
8,2599,1.0,0.00022539496421813965,,
8,2649,0.984375,0.014084061607718468,,
8,2699,1.0,1.2399628758430481e-05,,
8,2749,1.0,9.793788194656372e-05,,
8,2799,1.0,1.115351915359497e-05,,
8,2816,,,0.9944028258323669,0.029177406802773476
9,2849,1.0,0.00044112466275691986,,
9,2899,1.0,9.96515154838562e-07,,
9,2949,1.0,0.0005183424800634384,,
9,2999,1.0,1.6087666153907776e-05,,
9,3049,1.0,0.00011204555630683899,,
9,3099,1.0,0.0011117719113826752,,
9,3129,,,0.9926037192344666,0.030115405097603798
